         EPS      Labmda       Sigma       Omega          HI       LOS:      TIMELOS     IterLOS         LU:      TIMELU
       1e-08      800000           0      0.0001       1e-10       LOS:     0.003255           0         LU:    0.606742
       1e-08      800000           0           1    8.81e-12       LOS:     0.003022           0         LU:    0.598949
       1e-08      800000           0           1       1e-11       LOS:     0.002902           0         LU:    0.597874
       1e-08      800000           0           1       1e-10       LOS:     0.002823           0         LU:    0.593018
       1e-08      800000           0       10000    8.81e-12       LOS:     0.002778           0         LU:    0.603189
       1e-08      800000           0       10000       1e-11       LOS:     0.002869           0         LU:     0.65302
       1e-08      800000           0       10000       1e-10       LOS:     0.002876           0         LU:    0.609596
       1e-08      800000           0       1e+09    8.81e-12       LOS:       14.846       10000         LU:    0.612043
       1e-08      800000           0       1e+09       1e-11       LOS:      14.6657       10000         LU:    0.612185
       1e-08      800000           0       1e+09       1e-10       LOS:     0.003256           0         LU:    0.599031
       1e-08      800000       10000      0.0001    8.81e-12       LOS:     0.023197           0         LU:    0.599961
       1e-08      800000       10000      0.0001       1e-11       LOS:     0.011846           0         LU:    0.648279
       1e-08      800000       10000      0.0001       1e-10       LOS:     0.011363           0         LU:    0.593436
       1e-08      800000       10000           1    8.81e-12       LOS:      0.01128           0         LU:    0.613364
       1e-08      800000       10000           1       1e-11       LOS:     0.010055           0         LU:    0.616602
       1e-08      800000       10000           1       1e-10       LOS:     0.010537           0         LU:    0.605726
       1e-08      800000       10000       10000    8.81e-12       LOS:     0.011368           0         LU:    0.607801
       1e-08      800000       10000       10000       1e-11       LOS:     0.010559           0         LU:    0.601932
       1e-08      800000       10000       10000       1e-10       LOS:     0.010655           0         LU:     0.60579
       1e-08      800000       10000       1e+09    8.81e-12       LOS:     0.010138           0         LU:    0.601655
       1e-08      800000       10000       1e+09       1e-11       LOS:     0.010823           0         LU:    0.608572
       1e-08      800000       10000       1e+09       1e-10       LOS:      0.01117           0         LU:    0.607788
       1e-08      800000       1e+08      0.0001    8.81e-12       LOS:     0.010595           0         LU:    0.610247
       1e-08      800000       1e+08      0.0001       1e-11       LOS:     0.010419           0         LU:    0.594085
       1e-08      800000       1e+08      0.0001       1e-10       LOS:     0.012433           0         LU:    0.651707
       1e-08      800000       1e+08           1    8.81e-12       LOS:       0.0105           0         LU:    0.607052
       1e-08      800000       1e+08           1       1e-11       LOS:     0.011213           0         LU:    0.602357
       1e-08      800000       1e+08           1       1e-10       LOS:     0.012085           0         LU:     0.62385
       1e-08      800000       1e+08       10000    8.81e-12       LOS:     0.010415           0         LU:     0.60586
       1e-08      800000       1e+08       10000       1e-11       LOS:     0.010606           0         LU:    0.601002
       1e-08      800000       1e+08       10000       1e-10       LOS:      0.01006           0         LU:    0.607664
       1e-08      800000       1e+08       1e+09    8.81e-12       LOS:      0.01452           1         LU:    0.617726
       1e-08      800000       1e+08       1e+09       1e-11       LOS:     0.014637           1         LU:    0.597739
       1e-08      800000       1e+08       1e+09       1e-10       LOS:     0.014952           1         LU:    0.604163
       1e-09         100           0      0.0001    8.81e-12       LOS:     0.002964           0         LU:    0.601805
       1e-09         100           0      0.0001       1e-11       LOS:       0.0028           0         LU:    0.601617
       1e-09         100           0      0.0001       1e-10       LOS:     0.002951           0         LU:      0.5886
       1e-09         100           0           1    8.81e-12       LOS:     0.003171           0         LU:    0.636168
       1e-09         100           0           1       1e-11       LOS:     0.003004           0         LU:    0.596866
       1e-09         100           0           1       1e-10       LOS:     0.003178           0         LU:    0.602168
       1e-09         100           0       10000    8.81e-12       LOS:     0.003269           0         LU:    0.599127
       1e-09         100           0       10000       1e-11       LOS:     0.002943           0         LU:    0.617546
       1e-09         100           0       10000       1e-10       LOS:     0.002985           0         LU:    0.595998
       1e-09         100           0       1e+09    8.81e-12       LOS:     0.002859           0         LU:    0.603605
       1e-09         100           0       1e+09       1e-11       LOS:     0.002736           0         LU:    0.594333
       1e-09         100           0       1e+09       1e-10       LOS:     0.002812           0         LU:    0.597569
       1e-09         100       10000      0.0001    8.81e-12       LOS:     0.010863           0         LU:    0.605983
       1e-09         100       10000      0.0001       1e-11       LOS:     0.010649           0         LU:     0.61472
       1e-09         100       10000      0.0001       1e-10       LOS:     0.010754           0         LU:    0.607649
       1e-09         100       10000           1    8.81e-12       LOS:     0.011175           0         LU:    0.624692
       1e-09         100       10000           1       1e-11       LOS:     0.010444           0         LU:    0.609126
       1e-09         100       10000           1       1e-10       LOS:     0.010588           0         LU:    0.596866
       1e-09         100       10000       10000    8.81e-12       LOS:     0.011569           0         LU:    0.608527
       1e-09         100       10000       10000       1e-11       LOS:     0.010287           0         LU:    0.607261
       1e-09         100       10000       10000       1e-10       LOS:     0.010353           0         LU:    0.609675
       1e-09         100       10000       1e+09    8.81e-12       LOS:     0.010127           0         LU:    0.603616
       1e-09         100       10000       1e+09       1e-11       LOS:     0.010429           0         LU:    0.620519
       1e-09         100       10000       1e+09       1e-10       LOS:      0.01076           0         LU:    0.606042
       1e-09         100       1e+08      0.0001    8.81e-12       LOS:     0.011351           0         LU:    0.599532
       1e-09         100       1e+08      0.0001       1e-11       LOS:     0.010434           0         LU:    0.639088
       1e-09         100       1e+08      0.0001       1e-10       LOS:     0.011497           0         LU:    0.597931
       1e-09         100       1e+08           1    8.81e-12       LOS:     0.010517           0         LU:    0.608952
       1e-09         100       1e+08           1       1e-11       LOS:      0.01078           0         LU:    0.626826
       1e-09         100       1e+08           1       1e-10       LOS:     0.010384           0         LU:    0.623976
       1e-09         100       1e+08       10000    8.81e-12       LOS:     0.019028           1         LU:    0.602623
       1e-09         100       1e+08       10000       1e-11       LOS:     0.014832           1         LU:    0.608453
       1e-09         100       1e+08       10000       1e-10       LOS:      0.01485           1         LU:    0.609963
       1e-09         100       1e+08       1e+09    8.81e-12       LOS:     0.014332           1         LU:    0.605576
       1e-09         100       1e+08       1e+09       1e-11       LOS:      0.01448           1         LU:    0.615754
       1e-09         100       1e+08       1e+09       1e-10       LOS:     0.015024           1         LU:    0.607956
       1e-09       10000           0      0.0001    8.81e-12       LOS:       0.0034           0         LU:    0.603231
       1e-09       10000           0      0.0001       1e-11       LOS:     0.003058           0         LU:    0.604413
       1e-09       10000           0      0.0001       1e-10       LOS:     0.002861           0         LU:    0.593706
       1e-09       10000           0           1    8.81e-12       LOS:      0.00283           0         LU:    0.602255
       1e-09       10000           0           1       1e-11       LOS:     0.002772           0         LU:    0.589619
       1e-09       10000           0           1       1e-10       LOS:     0.002942           0         LU:    0.630572
       1e-09       10000           0       10000    8.81e-12       LOS:     0.003722           0         LU:    0.616732
       1e-09       10000           0       10000       1e-11       LOS:     0.002805           0         LU:    0.592612
       1e-09       10000           0       10000       1e-10       LOS:     0.003454           0         LU:    0.634946
       1e-09       10000           0       1e+09    8.81e-12       LOS:     0.003128           0         LU:    0.598216
       1e-09       10000           0       1e+09       1e-11       LOS:     0.003012           0         LU:    0.605922
       1e-09       10000           0       1e+09       1e-10       LOS:     0.003099           0         LU:    0.623118
       1e-09       10000       10000      0.0001    8.81e-12       LOS:     0.010963           0         LU:    0.610547
       1e-09       10000       10000      0.0001       1e-11       LOS:     0.010705           0         LU:    0.596281
       1e-09       10000       10000      0.0001       1e-10       LOS:     0.011152           0         LU:    0.606356
       1e-09       10000       10000           1    8.81e-12       LOS:     0.010982           0         LU:    0.606677
       1e-09       10000       10000           1       1e-11       LOS:     0.010914           0         LU:    0.601309
       1e-09       10000       10000           1       1e-10       LOS:     0.010909           0         LU:     0.60283
       1e-09       10000       10000       10000    8.81e-12       LOS:      0.01115           0         LU:    0.607171
       1e-09       10000       10000       10000       1e-11       LOS:     0.010113           0         LU:    0.609034
       1e-09       10000       10000       10000       1e-10       LOS:     0.011794           0         LU:    0.597488
       1e-09       10000       10000       1e+09    8.81e-12       LOS:     0.010199           0         LU:    0.621845
       1e-09       10000       10000       1e+09       1e-11       LOS:     0.010816           0         LU:    0.602503
       1e-09       10000       10000       1e+09       1e-10       LOS:      0.01551           0         LU:    0.658495
       1e-09       10000       1e+08      0.0001    8.81e-12       LOS:     0.011327           0         LU:    0.603619
       1e-09       10000       1e+08      0.0001       1e-11       LOS:     0.010928           0         LU:    0.617835
       1e-09       10000       1e+08      0.0001       1e-10       LOS:      0.01037           0         LU:    0.605149
       1e-09       10000       1e+08           1    8.81e-12       LOS:     0.010399           0         LU:    0.610492
       1e-09       10000       1e+08           1       1e-11       LOS:     0.010872           0         LU:    0.591059
       1e-09       10000       1e+08           1       1e-10       LOS:     0.011689           0         LU:    0.621217
       1e-09       10000       1e+08       10000    8.81e-12       LOS:     0.014856           1         LU:    0.605364
       1e-09       10000       1e+08       10000       1e-11       LOS:      0.01599           1         LU:     0.59313
       1e-09       10000       1e+08       10000       1e-10       LOS:     0.017126           1         LU:    0.621915
       1e-09       10000       1e+08       1e+09    8.81e-12       LOS:     0.016821           1         LU:    0.596585
       1e-09       10000       1e+08       1e+09       1e-11       LOS:     0.018904           1         LU:    0.611624
       1e-09       10000       1e+08       1e+09       1e-10       LOS:     0.016299           1         LU:    0.649679
       1e-09      800000           0      0.0001    8.81e-12       LOS:     0.002848           0         LU:    0.594888
       1e-09      800000           0      0.0001       1e-11       LOS:     0.002746           0         LU:    0.607772
       1e-09      800000           0      0.0001       1e-10       LOS:     0.002841           0         LU:    0.628025
       1e-09      800000           0           1    8.81e-12       LOS:     0.003275           0         LU:     0.61474
       1e-09      800000           0           1       1e-11       LOS:     0.003069           0         LU:    0.589814
       1e-09      800000           0           1       1e-10       LOS:      0.00334           0         LU:    0.613147
       1e-09      800000           0       10000    8.81e-12       LOS:     0.002821           0         LU:    0.606188
       1e-09      800000           0       10000       1e-11       LOS:     0.002774           0         LU:    0.593252
       1e-09      800000           0       10000       1e-10       LOS:     0.002787           0         LU:    0.599169
       1e-09      800000           0       1e+09    8.81e-12       LOS:      14.7364       10000         LU:    0.606729
       1e-09      800000           0       1e+09       1e-11       LOS:      14.7971       10000         LU:    0.601853
       1e-09      800000           0       1e+09       1e-10       LOS:     0.002801           0         LU:    0.592209
       1e-09      800000       10000      0.0001    8.81e-12       LOS:     0.010409           0         LU:    0.617176
